CONCEPTO,1999-12-31,2000-03-31,2000-06-30,2000-12-31,2001-03-31,2001-06-30,2001-12-31,2002-03-31,2002-06-30,2002-12-31,2003-03-31,2003-06-30,2003-12-31,2004-03-31,2004-06-30,2004-12-31,2005-03-31,2005-06-30,2005-12-31,2006-03-31,2006-06-30,2006-12-31,2007-03-31,2007-06-30,2007-12-31,2008-03-31,2008-06-30,2008-12-31,2009-03-31,2009-06-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
"Programa de Capitalización y compra de cartera",150445.0,0.0,0.0,174831.0,0.0,0.0,195226.0,0.0,0.0,208409.0,0.0,0.0,220427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nuevo Programa",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118080.0,0.0,0.0,1934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Saneamientos financieros",369411.0,0.0,0.0,214368.0,0.0,0.0,196766.0,0.0,0.0,128065.0,0.0,0.0,103482.0,0.0,0.0,104465.0,0.0,0.0,80274.0,0.0,0.0,25876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Emisiones realizadas",0,7479.0,33598.0,73845.0,94298.0,114056.0,151885.0,167726.0,186372.0,231546.0,254460.0,267730.0,309357.0,333330.0,353044.0,384448.0,413543.0,440191.0,496860.0,520668.0,540603.0,596855.0,622361.0,647544.0,694203.0,707895.0,723225.0,729744.0,726158.0,733480.0,765983.0,773246.0,775129.0,780065.0,783995.0,800303.0,807107.0,822521.0,842044.0,848116.0,845635.0,859556.0,860779.0,868386.0,881465.0,891152.0,907155.0,911706.0,891486.0,911382.0,894404.0,918086.0,937331.0,929316.0,923386.0,917402.0,919493.0,932003.0,937661.0,963629.0,957586.0,971985.0,975995.0,979828.0,989740.0,987542.0,985911.0,1003981.0,1015130.0,1004871.0,1006089.0,1023522.0,1017203.0,1001650.0,994272.0,993900.0,996142.0,980416.0,991071.0,995947.0,1006790.0,989645.0,1008418.0,1024036.0,1042814.0,1027389.0,1073604.0,1065062.0,1079826.0,1070922.0,1111436.0,1089130.0,1094612.0,1105694.0
"Pasivos de las instituciones en liquidación",164138.0,0.0,0.0,134476.0,0.0,0.0,77030.0,0.0,0.0,35624.0,0.0,0.0,13713.0,0.0,0.0,683.0,0.0,0.0,1611.0,0.0,0.0,1032.0,0.0,0.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Programa de deudores",16501.0,0.0,0.0,17030.0,0.0,0.0,9411.0,0.0,0.0,4788.0,0.0,0.0,4532.0,0.0,0.0,4284.0,0.0,0.0,4517.0,0.0,0.0,4131.0,0.0,0.0,2647.0,0.0,0.0,2566.0,0.0,0.0,2154.0,2667.0,820.0,1308.0,1801.0,2017.0,1225.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Programas de daciones en pago",14008.0,0.0,0.0,13905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Operaciones con instrumentos financieros derivados",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,535.0,284.0,524.0,53.0,309.0,499.0,515.0,135.0,0.0,1.0,111.0,56.0,100.0,99.0,128.0,94.0,75.0,87.0,73.0,76.0,42.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,102.0,51.0,179.0,198.0,82.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Otros pasivos",7961.0,0.0,0.0,5735.0,0.0,0.0,5235.0,0.0,0.0,6760.0,0.0,0.0,6323.0,0.0,0.0,4824.0,0.0,0.0,556.0,0.0,0.0,409.0,0.0,0.0,1657.0,0.0,0.0,1765.0,0.0,0.0,1511.0,1495.0,1672.0,1672.0,1654.0,1384.0,1392.0,1381.0,1431.0,1413.0,1415.0,1416.0,0.0,1343.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Reserva paz y a salvo",0,0.0,0.0,436.0,0.0,0.0,458.0,0.0,0.0,484.0,0.0,0.0,501.0,0.0,0.0,522.0,0.0,0.0,532.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,10.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
