concepto,saldo_inicial,saldo_final,fecha_inicial,fecha_final,notas
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2000-03-31,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2000-03-31,sin dato
Emisiones realizadas,0.0,7479.0,1999-12-31,2000-03-31,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2000-03-31,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2000-03-31,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2000-03-31,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2000-03-31,Corresponde al Valor de Mercado de las operaciones con instrumentos financieros derivados.
Otros pasivos,7961.0,0.0,1999-12-31,2000-03-31,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,1401.0,1999-12-31,2000-03-31,sin dato
Reserva y Otros pasivos,0.0,84.0,1999-12-31,2000-03-31,sin dato
Pasivos Totales,723563.0,720790.0,1999-12-31,2000-03-31,sin dato
Recursos líquidos,5209.0,13545.0,1999-12-31,2000-03-31,No incluye el saldo de los recursos de cuotas 25% correspondiente a recursos para operación y gastos de administración del Instituto.
Programa de deudores,16501.0,0.0,1999-12-31,2000-03-31,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2000-03-31,sin dato
Pasivos Netos,687844.0,677696.0,1999-12-31,2000-03-31,Pasivos totales menos recursos líquidos y programa de apoyo a deudores.
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2000-06-30,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2000-06-30,sin dato
Emisiones realizadas,0.0,33598.0,1999-12-31,2000-06-30,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2000-06-30,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2000-06-30,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2000-06-30,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2000-06-30,Corresponde al Valor de Mercado de las operaciones con instrumentos financieros derivados.
Otros pasivos,7961.0,0.0,1999-12-31,2000-06-30,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,1795.0,1999-12-31,2000-06-30,sin dato
Reserva y Otros pasivos,0.0,238.0,1999-12-31,2000-06-30,sin dato
Pasivos Totales,723563.0,711567.0,1999-12-31,2000-06-30,sin dato
Recursos líquidos,5209.0,13700.0,1999-12-31,2000-06-30,No incluye el saldo de los recursos de cuotas 25% correspondiente a recursos para operación y gastos de administración del Instituto.
Programa de deudores,16501.0,0.0,1999-12-31,2000-06-30,sin dato
